source_column,source_value,value_label
PRE_Q23,2,Men between 18 and 25 years old
PRE_Q23,3,Both men and women between 18 and 25 years old
PRE_Q23,4,Men and women who receive federal grants for education
PRE_Q23,99,Couldn't say
PRE_Q23,998,Skipped
PRE_Q23,999,T2 only group
PRE_Q24,1,Gets more votes than any other candidate
PRE_Q24,2,Gets a majority of all the votes cast
PRE_Q24,3,Gets more Electoral College votes than any other candidate
PRE_Q24,4,Gets a majority of Electoral College votes
PRE_Q24,99,Couldn't say
PRE_Q24,998,Skipped
PRE_Q24,999,T2 only group
PRE_Q25,1,Every 5 years
PRE_Q25,2,Every 10 years
PRE_Q25,3,Every 15 years
PRE_Q25,4,Every 20 years
PRE_Q25,99,Couldn't say
PRE_Q25,998,Skipped
PRE_Q25,999,T2 only group
PRE_Q26,1,Nevada and South Carolina
PRE_Q26,2,Iowa and New Hampshire
PRE_Q26,3,Indiana and New Mexico
PRE_Q26,4,Wyoming and Delaware
PRE_Q26,5,Michigan and Florida
PRE_Q26,99,Couldn't say
PRE_Q26,998,Skipped
PRE_Q26,999,T2 only group
PRE_Q27a,1,None
PRE_Q27a,2,1-2 days
PRE_Q27a,4,3-4 days
PRE_Q27a,5,Almost every day
PRE_Q27a,8,Skipped
PRE_Q27a,9,T2 only group
PRE_Q27b,1,None
PRE_Q27b,2,1-2 days
PRE_Q27b,4,3-4 days
PRE_Q27b,5,Almost every day
PRE_Q27b,8,Skipped
PRE_Q27b,9,T2 only group
PRE_Q27c,1,None
PRE_Q27c,2,1-2 days
PRE_Q27c,4,3-4 days
PRE_Q27c,5,Almost every day
PRE_Q27c,8,Skipped
PRE_Q27c,9,T2 only group
PRE_Q28,1,Practically never
PRE_Q28,2,About once a month
PRE_Q28,3,About once a week
PRE_Q28,4,Several times a week
PRE_Q28,5,Almost every day
PRE_Q28,8,Skipped
PRE_Q28,9,T2 only group
PRE_Q29,1,Not at all interested
PRE_Q29,2,Not very interested
PRE_Q29,3,Somewhat interested
PRE_Q29,4,Very interested
PRE_Q29,8,Skipped
PRE_Q29,9,T2 only group
PRE_Q30,1,"No, have never served"
PRE_Q30,2,"Yes, served in the past"
PRE_Q30,3,"Yes, serving currently"
PRE_Q30,8,Skipped
PRE_Q30,9,T2 only group
POST_Q1,1,I did not vote
POST_Q1,2,"I thought about voting, but didn't"
POST_Q1,3,"I usually vote, but didn't that time"
POST_Q1,4,I am sure I voted
POST_Q1,99,Don't know
POST_Q1,998,Skipped
POST_Q1,999,Not Asked
POST_Q2x,1,Very unlikely
POST_Q2x,2,Somewhat unlikely
POST_Q2x,3,Neither likely nor unlikely
POST_Q2x,4,Somewhat likely
POST_Q2x,5,Very likely
POST_Q2x,99,Don't know
POST_Q2x,998,Skipped
POST_Q2x,999,Not Asked
POST_Q3x,1,Very unlikely
POST_Q3x,2,Somewhat unlikely
POST_Q3x,3,Neither likely nor unlikely
POST_Q3x,4,Somewhat likely
POST_Q3x,5,Very likely
POST_Q3x,99,Don't know
POST_Q3x,998,Skipped
POST_Q3x,999,Not Asked
POST_Q4a,0,Completely unimportant0
POST_Q4a,1,1
POST_Q4a,2,2
POST_Q4a,3,3
POST_Q4a,4,4
POST_Q4a,5,Neither important nor unimportant5
POST_Q4a,6,6
POST_Q4a,7,7
POST_Q4a,8,8
POST_Q4a,9,9
POST_Q4a,10,Extremely important10
POST_Q4a,99,No opinion
POST_Q4a,998,Skipped
POST_Q4a,999,Not Asked
POST_Q4b,0,Completely unimportant0
POST_Q4b,1,1
POST_Q4b,2,2
POST_Q4b,3,3
POST_Q4b,4,4
POST_Q4b,5,Neither important nor unimportant5
POST_Q4b,6,6
POST_Q4b,7,7
POST_Q4b,8,8
POST_Q4b,9,9
POST_Q4b,10,Extremely important10
POST_Q4b,99,No opinion
POST_Q4b,998,Skipped
POST_Q4b,999,Not Asked
POST_Q4c,0,Completely unimportant0
POST_Q4c,1,1
POST_Q4c,2,2
POST_Q4c,3,3
POST_Q4c,4,4
POST_Q4c,5,Neither important nor unimportant5
POST_Q4c,6,6
POST_Q4c,7,7
POST_Q4c,8,8
POST_Q4c,9,9
POST_Q4c,10,Extremely important10
POST_Q4c,99,No opinion
POST_Q4c,998,Skipped
POST_Q4c,999,Not Asked
POST_Q4d,0,Completely unimportant0
POST_Q4d,1,1
POST_Q4d,2,2
POST_Q4d,3,3
POST_Q4d,4,4
POST_Q4d,5,Neither important nor unimportant5
POST_Q4d,6,6
POST_Q4d,7,7
POST_Q4d,8,8
POST_Q4d,9,9
POST_Q4d,10,Extremely important10
POST_Q4d,99,No opinion
POST_Q4d,998,Skipped
POST_Q4d,999,Not Asked
POST_Q5a,1,Favor strongly
POST_Q5a,2,Favor somewhat
POST_Q5a,3,Neither favor nor oppose
POST_Q5a,4,Oppose somewhat
POST_Q5a,5,Oppose strongly
POST_Q5a,99,No opinion
