caseid,source_row,pollgroup,legacy_field,historical_value,approved_value
52131,179,5214,chi.t2att3,0.6666666865348816,0.6000000238418579
52067,180,5212,chi.t2att3,0.5333333611488342,0.6000000238418579
52141,181,5203,chi.t2att3,0.6833333373069763,0.7749999761581421
52073,182,5216,chi.t2att3,1,0.5
52101,183,5214,chi.t2att3,0.8666666746139526,0.6666666865348816
52124,184,5211,chi.t2att3,1,0.4000000059604645
52049,185,5210,chi.t2att3,0.7666666507720947,0.8333333730697632
52057,186,5203,chi.t2att3,0.5,1
52230,187,5216,chi.t2att3,0.7800000309944153,0.28333333134651184
52080,188,5213,chi.t2att3,0.5,0.5
52074,189,5202,chi.t2att3,0.7166666984558105,0.8999999761581421
52112,190,5206,chi.t2att3,0.5,1
52168,191,5215,chi.t2att3,1,0.6166666746139526
52104,192,5204,chi.t2att3,0.3199999928474426,1
52151,193,5204,chi.t2att3,0.25,0.4000000059604645
52234,194,5203,chi.t2att3,1,0.7199999690055847
52117,195,5201,chi.t2att3,0.5,0.5
52053,196,5207,chi.t2att3,1,0.75
52152,197,5201,chi.t2att3,0.4000000059604645,0.824999988079071
52237,198,5214,chi.t2att3,0.6000000238418579,0.699999988079071
52170,199,5212,chi.t2att3,1,1
52136,200,5213,chi.t2att3,0.550000011920929,0.5
52233,201,5203,chi.t2att3,0.5333333611488342,0.4833333492279053
52118,202,5214,chi.t2att3,0,1
52087,203,5207,chi.t2att3,0.5833333730697632,0.5333333015441895
52145,204,5211,chi.t2att3,0.6166666746139526,0.5
52116,205,5208,chi.t2att3,0.5,0.5
52227,206,5215,chi.t2att3,0.8833333253860474,0.6500000357627869
52051,207,5216,chi.t2att3,1,0.699999988079071
52047,208,5213,chi.t2att3,1,0.5
52088,209,5209,chi.t2att3,0.75,1
52218,210,5208,chi.t2att3,0.5,1
52143,211,5203,chi.t2att3,0.6833333373069763,0.6000000238418579
52212,212,5209,chi.t2att3,0.5166666507720947,0
52228,213,5216,chi.t2att3,1,0.6166666746139526
52119,214,5201,chi.t2att3,0.5249999761581421,0.3166666626930237
52066,215,5212,chi.t2att3,1,1
52148,216,5215,chi.t2att3,0.5,0.45000001788139343
52120,217,5201,chi.t2att3,0.959999978542328,0.6200000047683716
52138,218,5208,chi.t2att3,0,0.550000011920929
52105,219,5203,chi.t2att3,0.3199999928474426,1
52063,220,5205,chi.t2att3,0.32499998807907104,0.8999999761581421
52081,221,5201,chi.t2att3,0.5,1
52082,222,5202,chi.t2att3,0.5,0.5
52135,223,5202,chi.t2att3,0.6000000238418579,0.1666666716337204
52127,224,5215,chi.t2att3,0.699999988079071,0.6666666865348816
52058,225,5214,chi.t2att3,0.5666666626930237,0.5
52231,226,5214,chi.t2att3,0.5,0.6000000238418579
52078,227,5206,chi.t2att3,0.8666666746139526,0.75
52054,228,5207,chi.t2att3,0.75,0.6499999761581421
52056,229,5206,chi.t2att3,1,0.1666666716337204
52191,230,5213,chi.t2att3,1,0.699999988079071
52014,231,5202,chi.t2att3,0.44999998807907104,0.05000000074505806
52240,232,5207,chi.t2att3,0.6666666865348816,1
52024,233,5209,chi.t2att3,0.36666667461395264,0.5
52144,234,5201,chi.t2att3,0.5,0.3199999928474426
52023,235,5213,chi.t2att3,0.5666666626930237,0.5
52015,1,5202,attextreme,0.22592592636744185,0.266666665342119
52026,2,5205,attextreme,0.16666666666666666,0.20000000132454765
52262,3,5212,attextreme,0.16666666666666666,0.16666666666666666
52040,4,5210,attextreme,0.13148149053255714,0.18148149053255716
52039,5,5211,attextreme,0.06425926287968954,0.11314815282821655
52243,6,5206,attextreme,0.32407407495710583,0.333333330684238
52003,7,5202,attextreme,0.466666665342119,0.466666665342119
52258,8,5215,attextreme,0.2870370388031006,0.32407407495710583
52012,10,5203,attextreme,0.2518518567085266,0.2518518567085266
52032,11,5210,attextreme,0.1629629638459947,0.2074074082904392
52021,12,5208,attextreme,0.22407406833436752,0.20555555423100788
52264,13,5215,attextreme,0.3333333333333333,0.3333333333333333
52257,14,5202,attextreme,0.25925926367441815,0.3148148192299737
52247,15,5203,attextreme,0.3333333333333333,0.3333333333333333
52042,16,5215,attextreme,0.3574074056413439,0.3462962971793281
52249,17,5215,attextreme,0.06203704012764825,0.07500000000000001
52263,18,5203,attextreme,0.16666666666666666,0.16666666666666666
52256,19,5206,attextreme,0.02777777777777777,0.08333333333333333
52248,20,5205,attextreme,0.32407407694392737,0.3611111130979326
52255,21,5213,attextreme,0.05555555555555555,0.1111111111111111
52261,22,5210,attextreme,0.32407407694392737,0.3611111130979326
