caseid,source_row,pollgroup,baseline_police_raw,post_children_raw,post_tv_raw,post_discipline_raw,pre,historical_post,candidate_post,delta
10204,204,2702,5,5,4,5,1,0.9166666666666666,0.9166666666666666,0
10205,205,2717,5,5,5,5,1,1,1,0
10206,206,2704,5,4,4,4,0.5833333333333334,0.8333333333333334,0.75,-0.08333333333333337
10209,209,2719,5,5,5,5,1,1,1,0
10213,213,2718,5,4,5,5,0.9166666666666666,1,0.9166666666666666,-0.08333333333333337
10216,216,2708,5,5,4,5,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
10219,219,2704,5,5,5,5,1,1,1,0
10222,222,2703,5,4,4,5,0.75,0.9166666666666666,0.8333333333333334,-0.08333333333333326
10224,224,2705,5,5,3,5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
10227,227,2709,4,5,2,5,0.75,0.6666666666666666,0.75,0.08333333333333337
10228,228,2708,5,5,3,5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
10229,229,2714,5,4,4,4,0.5,0.8333333333333334,0.75,-0.08333333333333337
10234,234,2705,5,5,3,5,1,0.8333333333333334,0.8333333333333334,0
10237,237,2707,5,5,5,5,0.9166666666666666,1,1,0
10241,241,2719,5,4,5,5,0.8333333333333334,1,0.9166666666666666,-0.08333333333333337
10242,242,2711,4,4,4,5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
10244,244,2710,4,5,2,NA,0.75,0.5,0.625,0.125
10245,245,2702,4,5,5,5,0.8333333333333334,0.9166666666666666,1,0.08333333333333337
10246,246,2703,4,5,4,5,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.08333333333333326
10247,247,2706,5,4,4,4,0.6666666666666666,0.8333333333333334,0.75,-0.08333333333333337
10253,253,2701,4,5,4,4,0.8333333333333334,0.75,0.8333333333333334,0.08333333333333337
10255,255,2715,5,5,5,5,1,1,1,0
10262,262,2716,5,5,4,5,0.6666666666666666,0.9166666666666666,0.9166666666666666,0
10263,263,2709,4,5,5,5,0.9166666666666666,0.9166666666666666,1,0.08333333333333337
10264,264,2704,5,3,5,5,0.6666666666666666,1,0.8333333333333334,-0.16666666666666663
10265,265,2713,4,5,5,4,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.08333333333333326
10266,266,2703,5,5,4,5,1,0.9166666666666666,0.9166666666666666,0
10270,270,2708,5,5,5,5,0.75,1,1,0
10271,271,2712,4,4,4,4,0.8333333333333334,0.75,0.75,0
10274,274,2711,5,5,3,4,0.6666666666666666,0.75,0.75,0
10276,276,2715,5,4,4,4,0.6666666666666666,0.8333333333333334,0.75,-0.08333333333333337
10277,277,2717,4,4,4,5,0.9166666666666666,0.8333333333333334,0.8333333333333334,0
10282,282,2718,1,3,2,2,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666
10284,284,2720,2,5,1,5,0.8333333333333334,0.4166666666666667,0.6666666666666666,0.24999999999999994
10286,286,2714,4,4,4,4,0.6666666666666666,0.75,0.75,0
10287,287,2710,5,5,4,5,1,0.9166666666666666,0.9166666666666666,0
10289,289,2701,3,5,3,5,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.16666666666666674
10290,290,2712,5,5,2,5,0.6666666666666666,0.75,0.75,0
10291,291,2714,4,5,3,4,1,0.6666666666666666,0.75,0.08333333333333337
10292,292,2712,4,4,4,4,0.6666666666666666,0.75,0.75,0
10293,293,2713,5,4,3,4,0.6666666666666666,0.75,0.6666666666666666,-0.08333333333333337
10294,294,2701,5,5,4,5,0.75,0.9166666666666666,0.9166666666666666,0
10295,295,2718,5,5,5,2,0.5833333333333334,0.75,0.75,0
10296,296,2710,5,5,4,5,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
10300,300,2713,4,5,4,4,0.6666666666666666,0.75,0.8333333333333334,0.08333333333333337
10301,301,2716,5,4,5,4,0.8333333333333334,0.9166666666666666,0.8333333333333334,-0.08333333333333326
10304,304,2707,5,5,4,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
10305,305,2715,4,5,4,4,0.75,0.75,0.8333333333333334,0.08333333333333337
10306,306,2709,5,5,5,5,0.8333333333333334,1,1,0
10307,307,2712,3,4,3,3,0.5833333333333334,0.5,0.5833333333333334,0.08333333333333337
10308,308,2714,5,5,5,4,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
10309,309,2708,3,5,3,5,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.16666666666666674
10310,310,2715,5,3,4,4,0.6666666666666666,0.8333333333333334,0.6666666666666666,-0.16666666666666674
10311,311,2720,5,3,5,5,0.9166666666666666,1,0.8333333333333334,-0.16666666666666663
10317,317,2706,4,5,5,5,0.9166666666666666,0.9166666666666666,1,0.08333333333333337
10319,319,2705,5,5,5,5,0.8333333333333334,1,1,0
10321,321,2707,5,4,4,4,0.9166666666666666,0.8333333333333334,0.75,-0.08333333333333337
10324,324,2706,4,4,4,5,0.5833333333333334,0.8333333333333334,0.8333333333333334,0
10327,327,2709,5,5,4,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
10329,329,2714,5,5,4,5,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
10332,332,2714,5,5,4,4,0.5833333333333334,0.8333333333333334,0.8333333333333334,0
10333,333,2716,5,5,5,5,0.8333333333333334,1,1,0
10335,335,2720,4,4,5,5,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
10338,338,2702,5,4,4,4,0.75,0.8333333333333334,0.75,-0.08333333333333337
10341,341,2717,3,4,4,3,0.75,0.5833333333333334,0.6666666666666666,0.08333333333333326
10342,342,2702,5,5,5,5,0.9166666666666666,1,1,0
10345,345,2715,4,5,4,5,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.08333333333333326
10347,347,2705,4,5,4,4,1,0.75,0.8333333333333334,0.08333333333333337
10348,348,2716,5,5,5,5,1,1,1,0
10350,350,2708,5,5,4,4,1,0.8333333333333334,0.8333333333333334,0
10352,352,2703,5,5,3,5,0.5833333333333334,0.8333333333333334,0.8333333333333334,0
10354,354,2719,2,5,3,5,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.25
10356,356,2715,4,3,2,4,0.4166666666666667,0.5833333333333334,0.5,-0.08333333333333337
10357,357,2718,4,5,4,5,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.08333333333333326
10358,358,2711,5,5,1,5,0.5,0.6666666666666666,0.6666666666666666,0
10361,361,2716,5,5,4,5,0.5,0.9166666666666666,0.9166666666666666,0
10363,363,2702,5,4,4,4,0.9166666666666666,0.8333333333333334,0.75,-0.08333333333333337
10365,365,2701,5,4,5,3,0.8333333333333334,0.8333333333333334,0.75,-0.08333333333333337
10366,366,2702,5,4,4,5,0.5833333333333334,0.9166666666666666,0.8333333333333334,-0.08333333333333326
10367,367,2715,5,5,5,5,0.9166666666666666,1,1,0
10368,368,2711,5,5,3,2,0.6666666666666666,0.5833333333333334,0.5833333333333334,0
10375,375,2701,4,5,NA,4,0.75,0.75,0.875,0.125
10376,376,2710,5,5,5,4,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
10383,383,2714,5,5,3,4,0.6666666666666666,0.75,0.75,0
10388,388,2711,5,NA,NA,NA,0.8333333333333334,1,NA,NA
10395,395,2714,5,5,4,5,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
10396,396,2707,5,5,4,4,0.75,0.8333333333333334,0.8333333333333334,0
10397,397,2715,4,5,4,4,0.9166666666666666,0.75,0.8333333333333334,0.08333333333333337
10398,398,2717,5,5,4,5,0.5833333333333334,0.9166666666666666,0.9166666666666666,0
10399,399,2710,5,5,5,5,1,1,1,0
10400,400,2706,5,5,4,3,0.75,0.75,0.75,0
10402,402,2709,4,4,5,4,0.75,0.8333333333333334,0.8333333333333334,0
10404,404,2717,5,4,5,4,0.75,0.9166666666666666,0.8333333333333334,-0.08333333333333326
