legacy_field,caseid,historical_value,approved_value
eu.free_trade_index_t3,1585,0.3,0.3
eu.mil_att_11_12_t3,1357,0.625,0.6375
eu.free_trade_index_t3,1357,0.4375,0.4375
eu.mil_att_11_12_t3,1522,0.25,0.375
eu.free_trade_index_t3,1522,0.375,0.375
eu.mil_att_11_12_t3,1452,0.775,0.7
eu.free_trade_index_t3,1452,0.5375,0.375
eu.mil_att_11_12_t3,1604,0.825,0.8375
eu.free_trade_index_t3,1604,0.55,0.5
eu.mil_att_11_12_t3,1558,0.5,0.4875
eu.free_trade_index_t3,1558,0.45,0.5
eu.mil_att_11_12_t3,1130,0.5,0.625
eu.free_trade_index_t3,1130,1,1
eu.mil_att_11_12_t3,1143,0.5,0.475
eu.free_trade_index_t3,1143,0.25,0.375
eu.mil_att_11_12_t3,1157,0.375,0.5125
eu.free_trade_index_t3,1157,0.625,0.7125
eu.mil_att_11_12_t3,1214,0.3,0.2625
eu.free_trade_index_t3,1214,0.275,0.275
eu.mil_att_11_12_t3,1208,0.55,0.5375
eu.free_trade_index_t3,1208,0.3375,0.3875
eu.mil_att_11_12_t3,1034,0.3875,0.375
eu.free_trade_index_t3,1034,0.275,0.325
eu.mil_att_11_12_t3,1067,0.5125,0.6000000000000001
eu.free_trade_index_t3,1067,0.125,0.325
eu.mil_att_11_12_t3,1689,0.925,0.925
eu.free_trade_index_t3,1689,0.75,0.5
eu.mil_att_11_12_t3,1644,0.4375,0.5
eu.free_trade_index_t3,1644,0.5,0.5
eu.mil_att_11_12_t3,1683,0,0.1375
eu.free_trade_index_t3,1683,0.425,0.625
eu.mil_att_11_12_t3,1691,0.8625,0.875
eu.free_trade_index_t3,1691,0.625,0.575
eu.mil_att_11_12_t3,1688,0.5625,0.5125
eu.free_trade_index_t3,1688,0.175,0.375
eu.mil_att_11_12_t3,1458,0.6,0.7
eu.free_trade_index_t3,1458,0.625,0.725
eu.mil_att_11_12_t3,1502,0.55,0.575
eu.free_trade_index_t3,1502,0.625,0.875
eu.mil_att_11_12_t3,1460,0.36250000000000004,0.4375
eu.free_trade_index_t3,1460,0.225,0.325
eu.mil_att_11_12_t3,1562,0.8375,0.8125
eu.free_trade_index_t3,1562,0.3375,0.3875
eu.mil_att_11_12_t3,1517,0.375,0.425
eu.free_trade_index_t3,1517,1,1
eu.mil_att_11_12_t3,1525,0.625,0.75
eu.free_trade_index_t3,1525,0.5,0.5
eu.mil_att_11_12_t3,1453,0.625,0.6
eu.free_trade_index_t3,1453,0.7125,0.6125
eu.mil_att_11_12_t3,1370,0.7125,0.7
eu.free_trade_index_t3,1370,0.4,0.55
eu.mil_att_11_12_t3,2527,0.6,0.5875
eu.free_trade_index_t3,2527,0.875,0.625
eu.mil_att_11_12_t3,2568,0.875,0.875
eu.free_trade_index_t3,2568,1,1
eu.mil_att_11_12_t3,2579,0.6125,0.6
eu.free_trade_index_t3,2579,0.6875,0.5375
eu.mil_att_11_12_t3,2512,0.5375,0.575
eu.free_trade_index_t3,2512,0.775,0.775
eu.mil_att_11_12_t3,2537,0.475,0.5125
eu.free_trade_index_t3,2537,0.775,0.725
eu.mil_att_11_12_t3,2557,0.6125,0.7374999999999999
